DateKey,Year,Month,Day,WeekDay,WeekOfYear,Quarter
2018-02-08,2018,2,8,Thursday,6,1
2017-02-13,2017,2,13,Monday,7,1
2018-03-20,2018,3,20,Tuesday,12,1
2017-06-23,2017,6,23,Friday,25,2
2018-06-04,2018,6,4,Monday,23,2
2018-01-02,2018,1,2,Tuesday,1,1
2018-05-19,2018,5,19,Saturday,20,2
2018-02-21,2018,2,21,Wednesday,8,1
2018-06-30,2018,6,30,Saturday,26,2
2018-01-26,2018,1,26,Friday,4,1
2017-12-27,2017,12,27,Wednesday,52,4
2017-05-12,2017,5,12,Friday,19,2
2018-04-04,2018,4,4,Wednesday,14,2
2017-11-16,2017,11,16,Thursday,46,4
2017-11-18,2017,11,18,Saturday,46,4
2016-10-08,2016,10,8,Saturday,40,4
2018-07-19,2018,7,19,Thursday,29,3
2017-11-29,2017,11,29,Wednesday,48,4
2017-01-27,2017,1,27,Friday,4,1
2017-04-03,2017,4,3,Monday,14,2
2017-06-05,2017,6,5,Monday,23,2
2017-06-07,2017,6,7,Wednesday,23,2
2018-02-19,2018,2,19,Monday,8,1
2018-05-24,2018,5,24,Thursday,21,2
2017-04-13,2017,4,13,Thursday,15,2
2017-11-10,2017,11,10,Friday,45,4
2017-02-14,2017,2,14,Tuesday,7,1
2017-11-11,2017,11,11,Saturday,45,4
2017-01-14,2017,1,14,Saturday,2,1
2017-05-29,2017,5,29,Monday,22,2
2017-02-27,2017,2,27,Monday,9,1
2017-07-10,2017,7,10,Monday,28,3
2017-10-11,2017,10,11,Wednesday,41,4
2017-05-06,2017,5,6,Saturday,18,2
2018-06-11,2018,6,11,Monday,24,2
2017-11-17,2017,11,17,Friday,46,4
2018-03-22,2018,3,22,Thursday,12,1
2018-02-04,2018,2,4,Sunday,5,1
2017-01-29,2017,1,29,Sunday,4,1
2017-03-12,2017,3,12,Sunday,10,1
2017-02-04,2017,2,4,Saturday,5,1
2018-04-05,2018,4,5,Thursday,14,2
2017-08-25,2017,8,25,Friday,34,3
2017-06-16,2017,6,16,Friday,24,2
2018-04-25,2018,4,25,Wednesday,17,2
2018-03-16,2018,3,16,Friday,11,1
2018-05-01,2018,5,1,Tuesday,18,2
2018-05-31,2018,5,31,Thursday,22,2
2017-09-12,2017,9,12,Tuesday,37,3
2018-02-06,2018,2,6,Tuesday,6,1
2018-06-21,2018,6,21,Thursday,25,2
2017-02-10,2017,2,10,Friday,6,1
2018-02-22,2018,2,22,Thursday,8,1
2017-09-10,2017,9,10,Sunday,36,3
2018-03-15,2018,3,15,Thursday,11,1
2018-03-27,2018,3,27,Tuesday,13,1
2018-05-08,2018,5,8,Tuesday,19,2
2017-07-25,2017,7,25,Tuesday,30,3
2018-07-09,2018,7,9,Monday,28,3
2017-12-24,2017,12,24,Sunday,51,4
2018-05-15,2018,5,15,Tuesday,20,2
2017-09-16,2017,9,16,Saturday,37,3
2018-08-15,2018,8,15,Wednesday,33,3
2018-04-10,2018,4,10,Tuesday,15,2
2018-07-18,2018,7,18,Wednesday,29,3
2018-08-17,2018,8,17,Friday,33,3
2017-07-07,2017,7,7,Friday,27,3
2017-03-02,2017,3,2,Thursday,9,1
2017-06-28,2017,6,28,Wednesday,26,2
2017-10-09,2017,10,9,Monday,41,4
2017-07-17,2017,7,17,Monday,29,3
2017-03-08,2017,3,8,Wednesday,10,1
2018-03-07,2018,3,7,Wednesday,10,1
2018-06-03,2018,6,3,Sunday,22,2
2018-08-12,2018,8,12,Sunday,32,3
2018-08-29,2018,8,29,Wednesday,35,3
2017-11-21,2017,11,21,Tuesday,47,4
2018-03-06,2018,3,6,Tuesday,10,1
2018-07-07,2018,7,7,Saturday,27,3
2018-07-11,2018,7,11,Wednesday,28,3
2018-05-25,2018,5,25,Friday,21,2
2017-05-19,2017,5,19,Friday,20,2
2017-10-08,2017,10,8,Sunday,40,4
2017-04-07,2017,4,7,Friday,14,2
2017-08-06,2017,8,6,Sunday,31,3
2018-03-31,2018,3,31,Saturday,13,1
2017-11-08,2017,11,8,Wednesday,45,4
2017-12-06,2017,12,6,Wednesday,49,4
2017-10-28,2017,10,28,Saturday,43,4
2018-02-18,2018,2,18,Sunday,7,1
2017-09-26,2017,9,26,Tuesday,39,3
2017-03-07,2017,3,7,Tuesday,10,1
2017-04-19,2017,4,19,Wednesday,16,2
2018-07-13,2018,7,13,Friday,28,3
2017-10-30,2017,10,30,Monday,44,4
2018-07-28,2018,7,28,Saturday,30,3
2017-12-15,2017,12,15,Friday,50,4
2017-01-24,2017,1,24,Tuesday,4,1
2018-08-19,2018,8,19,Sunday,33,3
2017-09-28,2017,9,28,Thursday,39,3
2018-04-06,2018,4,6,Friday,14,2
2017-08-05,2017,8,5,Saturday,31,3
2017-12-19,2017,12,19,Tuesday,51,4
2017-02-07,2017,2,7,Tuesday,6,1
2017-12-20,2017,12,20,Wednesday,51,4
2017-08-30,2017,8,30,Wednesday,35,3
2017-09-17,2017,9,17,Sunday,37,3
2018-04-24,2018,4,24,Tuesday,17,2
2016-10-05,2016,10,5,Wednesday,40,4
2017-02-19,2017,2,19,Sunday,7,1
2018-03-24,2018,3,24,Saturday,12,1
2017-08-18,2017,8,18,Friday,33,3
2018-08-23,2018,8,23,Thursday,34,3
2017-02-12,2017,2,12,Sunday,6,1
2017-05-14,2017,5,14,Sunday,19,2
2018-04-13,2018,4,13,Friday,15,2
2017-03-18,2017,3,18,Saturday,11,1
2018-02-02,2018,2,2,Friday,5,1
2018-05-16,2018,5,16,Wednesday,20,2
2017-08-09,2017,8,9,Wednesday,32,3
2018-07-29,2018,7,29,Sunday,30,3
2017-02-26,2017,2,26,Sunday,8,1
2017-09-22,2017,9,22,Friday,38,3
2018-04-28,2018,4,28,Saturday,17,2
2018-04-19,2018,4,19,Thursday,16,2
2017-07-30,2017,7,30,Sunday,30,3
2017-08-12,2017,8,12,Saturday,32,3
2017-11-12,2017,11,12,Sunday,45,4
2018-01-06,2018,1,6,Saturday,1,1
